[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[20:04:00] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=1 tok/step=65,536
[20:04:00] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[20:04:03]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[20:04:03] Compiling model...
[23:35:00] step  1330/2000  ce 3.8561  lr 7.02e-04  |grad| 0.19  mem 57.4GB  tok/s 6,887
[23:36:35] step  1340/2000  ce 3.9190  lr 6.92e-04  |grad| 0.19  mem 57.4GB  tok/s 6,887
[23:38:10] step  1350/2000  ce 3.7720  lr 6.82e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[23:39:45] step  1360/2000  ce 4.0717  lr 6.72e-04  |grad| 0.19  mem 57.4GB  tok/s 6,888
[23:41:20] step  1370/2000  ce 4.0665  lr 6.62e-04  |grad| 0.18  mem 57.4GB  tok/s 6,888
[23:42:54] step  1380/2000  ce 4.0695  lr 6.52e-04  |grad| 0.20  mem 57.4GB  tok/s 6,888
[23:44:29] step  1390/2000  ce 3.9529  lr 6.42e-04  |grad| 0.18  mem 57.4GB  tok/s 6,888
[23:46:04] step  1400/2000  ce 3.9541  lr 6.33e-04  |grad| 0.17  mem 57.4GB  tok/s 6,888
[23:47:39] step  1410/2000  ce 3.9728  lr 6.23e-04  |grad| 0.18  mem 57.4GB  tok/s 6,888
[23:49:14] step  1420/2000  ce 3.7796  lr 6.14e-04  |grad| 0.18  mem 57.4GB  tok/s 6,888
[23:50:55] step  1430/2000  ce 3.8490  lr 6.04e-04  |grad| 0.18  mem 57.4GB  tok/s 6,886
[23:52:37] step  1440/2000  ce 3.9512  lr 5.95e-04  |grad| 0.45  mem 57.4GB  tok/s 6,882
[23:54:19] step  1450/2000  ce 3.8989  lr 5.86e-04  |grad| 0.18  mem 57.4GB  tok/s 6,879
[23:56:01] step  1460/2000  ce 3.7949  lr 5.77e-04  |grad| 0.18  mem 57.4GB  tok/s 6,875
[23:57:43] step  1470/2000  ce 3.9402  lr 5.68e-04  |grad| 0.17  mem 57.4GB  tok/s 6,872
[23:59:25] step  1480/2000  ce 3.9081  lr 5.60e-04  |grad| 0.17  mem 57.4GB  tok/s 6,869
[00:01:03] step  1490/2000  ce 3.8405  lr 5.51e-04  |grad| 0.17  mem 57.4GB  tok/s 6,867
[00:02:38] step  1500/2000  ce 3.8383  lr 5.43e-04  |grad| 0.17  mem 57.4GB  tok/s 6,868
[00:02:47]   [eval @ 1500] val PPL=47.77
[00:02:51]   [ckpt @ 1500] -> checkpoint_ln_seed1.pt
[00:04:26] step  1510/2000  ce 3.9377  lr 5.34e-04  |grad| 0.17  mem 57.4GB  tok/s 6,862
[00:06:01] step  1520/2000  ce 3.7099  lr 5.26e-04  |grad| 0.18  mem 57.4GB  tok/s 6,862
[00:07:36] step  1530/2000  ce 4.0438  lr 5.18e-04  |grad| 0.19  mem 57.4GB  tok/s 6,863
[00:09:10] step  1540/2000  ce 3.8881  lr 5.10e-04  |grad| 0.17  mem 57.4GB  tok/s 6,863
[00:10:45] step  1550/2000  ce 3.9099  lr 5.02e-04  |grad| 0.18  mem 57.4GB  tok/s 6,863
[00:12:20] step  1560/2000  ce 3.9078  lr 4.95e-04  |grad| 0.18  mem 57.4GB  tok/s 6,863
[00:13:55] step  1570/2000  ce 3.8023  lr 4.87e-04  |grad| 0.17  mem 57.4GB  tok/s 6,864
[00:15:30] step  1580/2000  ce 4.0001  lr 4.80e-04  |grad| 0.17  mem 57.4GB  tok/s 6,864
[00:17:05] step  1590/2000  ce 3.6783  lr 4.73e-04  |grad| 0.18  mem 57.4GB  tok/s 6,864
[00:18:40] step  1600/2000  ce 3.9387  lr 4.65e-04  |grad| 0.17  mem 57.4GB  tok/s 6,864
[00:20:15] step  1610/2000  ce 3.9508  lr 4.59e-04  |grad| 0.17  mem 57.4GB  tok/s 6,864
[00:21:50] step  1620/2000  ce 3.9151  lr 4.52e-04  |grad| 0.17  mem 57.4GB  tok/s 6,865
[00:23:25] step  1630/2000  ce 3.9941  lr 4.45e-04  |grad| 0.17  mem 57.4GB  tok/s 6,865
[00:25:00] step  1640/2000  ce 3.7381  lr 4.39e-04  |grad| 0.16  mem 57.4GB  tok/s 6,865
[00:26:35] step  1650/2000  ce 3.9843  lr 4.32e-04  |grad| 0.17  mem 57.4GB  tok/s 6,866
[00:28:09] step  1660/2000  ce 3.7768  lr 4.26e-04  |grad| 0.16  mem 57.4GB  tok/s 6,866
[00:29:44] step  1670/2000  ce 3.8442  lr 4.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,866
[00:31:19] step  1680/2000  ce 3.9360  lr 4.14e-04  |grad| 0.17  mem 57.4GB  tok/s 6,866
[00:32:54] step  1690/2000  ce 3.7887  lr 4.09e-04  |grad| 0.17  mem 57.4GB  tok/s 6,867
[00:34:29] step  1700/2000  ce 3.8606  lr 4.03e-04  |grad| 0.19  mem 57.4GB  tok/s 6,867
[00:36:03] step  1710/2000  ce 3.7550  lr 3.98e-04  |grad| 0.16  mem 57.4GB  tok/s 6,867
[00:37:38] step  1720/2000  ce 3.9757  lr 3.93e-04  |grad| 0.17  mem 57.4GB  tok/s 6,867
[00:39:13] step  1730/2000  ce 3.9077  lr 3.88e-04  |grad| 0.16  mem 57.4GB  tok/s 6,868
[00:40:48] step  1740/2000  ce 3.9201  lr 3.83e-04  |grad| 0.17  mem 57.4GB  tok/s 6,868
[00:42:23] step  1750/2000  ce 3.7566  lr 3.78e-04  |grad| 0.16  mem 57.4GB  tok/s 6,868
[00:42:27]   [ckpt @ 1750] -> checkpoint_ln_seed1.pt
[00:44:01] step  1760/2000  ce 3.8686  lr 3.74e-04  |grad| 0.18  mem 57.4GB  tok/s 6,867
[00:45:36] step  1770/2000  ce 3.5762  lr 3.69e-04  |grad| 0.17  mem 57.4GB  tok/s 6,867
[00:47:11] step  1780/2000  ce 3.8704  lr 3.65e-04  |grad| 0.17  mem 57.4GB  tok/s 6,867
[00:48:46] step  1790/2000  ce 3.9302  lr 3.61e-04  |grad| 0.18  mem 57.4GB  tok/s 6,867
[00:50:21] step  1800/2000  ce 3.6004  lr 3.57e-04  |grad| 0.16  mem 57.4GB  tok/s 6,868
[00:51:56] step  1810/2000  ce 3.6546  lr 3.54e-04  |grad| 0.17  mem 57.4GB  tok/s 6,868
[00:53:31] step  1820/2000  ce 3.8493  lr 3.50e-04  |grad| 0.18  mem 57.4GB  tok/s 6,868
[00:55:06] step  1830/2000  ce 3.7762  lr 3.47e-04  |grad| 0.18  mem 57.4GB  tok/s 6,868
[00:56:41] step  1840/2000  ce 3.4102  lr 3.44e-04  |grad| 0.18  mem 57.4GB  tok/s 6,869
[00:58:15] step  1850/2000  ce 3.7017  lr 3.41e-04  |grad| 0.16  mem 57.4GB  tok/s 6,869
[00:59:50] step  1860/2000  ce 3.4195  lr 3.38e-04  |grad| 0.17  mem 57.4GB  tok/s 6,869
[01:01:25] step  1870/2000  ce 3.6295  lr 3.36e-04  |grad| 0.17  mem 57.4GB  tok/s 6,869
[01:03:00] step  1880/2000  ce 4.0282  lr 3.34e-04  |grad| 0.16  mem 57.4GB  tok/s 6,869
[01:04:35] step  1890/2000  ce 3.9024  lr 3.31e-04  |grad| 0.16  mem 57.4GB  tok/s 6,869
[01:06:10] step  1900/2000  ce 3.8125  lr 3.29e-04  |grad| 0.16  mem 57.4GB  tok/s 6,870
[01:07:45] step  1910/2000  ce 3.8035  lr 3.28e-04  |grad| 0.18  mem 57.4GB  tok/s 6,870
[01:09:19] step  1920/2000  ce 3.8595  lr 3.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,870
[01:10:54] step  1930/2000  ce 3.9335  lr 3.25e-04  |grad| 0.16  mem 57.4GB  tok/s 6,870
[01:12:29] step  1940/2000  ce 3.6097  lr 3.23e-04  |grad| 0.16  mem 57.4GB  tok/s 6,871
[01:14:04] step  1950/2000  ce 3.6360  lr 3.22e-04  |grad| 0.18  mem 57.4GB  tok/s 6,871
[01:15:39] step  1960/2000  ce 3.5713  lr 3.22e-04  |grad| 0.15  mem 57.4GB  tok/s 6,871
[01:17:13] step  1970/2000  ce 3.7782  lr 3.21e-04  |grad| 0.16  mem 57.4GB  tok/s 6,871
[01:18:48] step  1980/2000  ce 3.5875  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,872
[01:20:23] step  1990/2000  ce 3.7877  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,872
[01:21:58] step  2000/2000  ce 3.6147  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,872
[01:22:07]   [eval @ 2000] val PPL=42.35
[01:22:10]   [ckpt @ 2000] -> checkpoint_ln_seed1.pt
[01:22:14] DONE
