[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[05:42:37] step   710/2000  ce 4.6917  lr 1.38e-03  |grad| 0.24  mem 59.2GB  tok/s 6,722
[05:44:14] step   720/2000  ce 4.5832  lr 1.37e-03  |grad| 0.24  mem 59.2GB  tok/s 6,722
[05:45:51] step   730/2000  ce 4.3770  lr 1.36e-03  |grad| 0.24  mem 59.2GB  tok/s 6,722
[05:47:28] step   740/2000  ce 4.5176  lr 1.35e-03  |grad| 0.26  mem 59.2GB  tok/s 6,722
[05:49:06] step   750/2000  ce 4.3580  lr 1.34e-03  |grad| 0.24  mem 59.2GB  tok/s 6,723
[05:49:09]   [ckpt @ 750] -> checkpoint_vr_seed1.pt
[05:50:46] step   760/2000  ce 4.4267  lr 1.33e-03  |grad| 0.24  mem 59.2GB  tok/s 6,720
[05:52:24] step   770/2000  ce 4.2569  lr 1.32e-03  |grad| 0.21  mem 59.2GB  tok/s 6,720
[05:54:01] step   780/2000  ce 4.3177  lr 1.31e-03  |grad| 0.22  mem 59.2GB  tok/s 6,720
[05:55:38] step   790/2000  ce 4.4579  lr 1.30e-03  |grad| 0.23  mem 59.2GB  tok/s 6,721
[05:57:15] step   800/2000  ce 4.4726  lr 1.29e-03  |grad| 0.27  mem 59.2GB  tok/s 6,721
[05:58:52] step   810/2000  ce 4.5718  lr 1.28e-03  |grad| 0.22  mem 59.2GB  tok/s 6,721
[06:00:30] step   820/2000  ce 4.1721  lr 1.27e-03  |grad| 0.23  mem 59.2GB  tok/s 6,721
[06:02:07] step   830/2000  ce 4.5136  lr 1.26e-03  |grad| 0.24  mem 59.2GB  tok/s 6,722
[06:03:44] step   840/2000  ce 3.8875  lr 1.24e-03  |grad| 0.21  mem 59.2GB  tok/s 6,722
[06:05:21] step   850/2000  ce 4.3555  lr 1.23e-03  |grad| 0.23  mem 59.2GB  tok/s 6,722
[06:06:58] step   860/2000  ce 4.4298  lr 1.22e-03  |grad| 0.23  mem 59.2GB  tok/s 6,722
[06:08:36] step   870/2000  ce 4.1789  lr 1.21e-03  |grad| 0.23  mem 59.2GB  tok/s 6,723
[06:10:13] step   880/2000  ce 3.8892  lr 1.20e-03  |grad| 0.21  mem 59.2GB  tok/s 6,723
[06:11:50] step   890/2000  ce 4.2388  lr 1.19e-03  |grad| 0.22  mem 59.2GB  tok/s 6,723
[06:13:27] step   900/2000  ce 4.1263  lr 1.18e-03  |grad| 0.21  mem 59.2GB  tok/s 6,723
[06:15:04] step   910/2000  ce 4.1392  lr 1.17e-03  |grad| 0.22  mem 59.2GB  tok/s 6,724
