[12:13:30] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=True | steps=2000 seed=1 tok/step=65,536
[15:38:13] step  1220/2000  ce 4.1273  lr 8.19e-04  |grad| 0.20  mem 59.3GB  tok/s 6,512
[15:39:54] step  1230/2000  ce 4.0832  lr 8.08e-04  |grad| 0.19  mem 59.3GB  tok/s 6,512
[15:41:35] step  1240/2000  ce 4.0381  lr 7.97e-04  |grad| 0.21  mem 59.3GB  tok/s 6,511
[15:43:16] step  1250/2000  ce 3.8234  lr 7.86e-04  |grad| 0.21  mem 59.3GB  tok/s 6,511
[15:43:20]   [ckpt @ 1250] -> checkpoint_hg_seed1.pt
[15:45:01] step  1260/2000  ce 3.9431  lr 7.75e-04  |grad| 0.21  mem 59.3GB  tok/s 6,509
[15:46:43] step  1270/2000  ce 4.1202  lr 7.65e-04  |grad| 0.20  mem 59.3GB  tok/s 6,509
[15:48:24] step  1280/2000  ce 3.9551  lr 7.54e-04  |grad| 0.20  mem 59.3GB  tok/s 6,508
[15:50:05] step  1290/2000  ce 3.7085  lr 7.43e-04  |grad| 0.21  mem 59.3GB  tok/s 6,508
[15:51:47] step  1300/2000  ce 3.8363  lr 7.33e-04  |grad| 0.23  mem 59.3GB  tok/s 6,507
[15:53:29] step  1310/2000  ce 4.1916  lr 7.22e-04  |grad| 0.21  mem 59.3GB  tok/s 6,507
[15:55:10] step  1320/2000  ce 3.9748  lr 7.12e-04  |grad| 0.23  mem 59.3GB  tok/s 6,506
[15:56:52] step  1330/2000  ce 3.9808  lr 7.02e-04  |grad| 0.42  mem 59.3GB  tok/s 6,506
[15:58:33] step  1340/2000  ce 4.2112  lr 6.92e-04  |grad| 0.22  mem 59.3GB  tok/s 6,506
[16:00:15] step  1350/2000  ce 4.0970  lr 6.82e-04  |grad| 0.19  mem 59.3GB  tok/s 6,505
[16:01:56] step  1360/2000  ce 4.1977  lr 6.72e-04  |grad| 0.20  mem 59.3GB  tok/s 6,505
[16:03:38] step  1370/2000  ce 4.0296  lr 6.62e-04  |grad| 0.21  mem 59.3GB  tok/s 6,505
[16:05:19] step  1380/2000  ce 3.8675  lr 6.52e-04  |grad| 0.19  mem 59.3GB  tok/s 6,504
[16:07:00] step  1390/2000  ce 4.1524  lr 6.42e-04  |grad| 0.20  mem 59.3GB  tok/s 6,504
[16:08:41] step  1400/2000  ce 3.8499  lr 6.33e-04  |grad| 0.22  mem 59.3GB  tok/s 6,504
[16:10:22] step  1410/2000  ce 3.7904  lr 6.23e-04  |grad| 0.21  mem 59.3GB  tok/s 6,504
[16:12:03] step  1420/2000  ce 3.9748  lr 6.14e-04  |grad| 0.18  mem 59.3GB  tok/s 6,504
[16:13:45] step  1430/2000  ce 3.8665  lr 6.04e-04  |grad| 0.19  mem 59.3GB  tok/s 6,504
[16:15:26] step  1440/2000  ce 3.7576  lr 5.95e-04  |grad| 0.20  mem 59.3GB  tok/s 6,503
[16:17:08] step  1450/2000  ce 3.9372  lr 5.86e-04  |grad| 0.21  mem 59.3GB  tok/s 6,503
[16:18:49] step  1460/2000  ce 3.7058  lr 5.77e-04  |grad| 0.20  mem 59.3GB  tok/s 6,503
[16:20:30] step  1470/2000  ce 3.9811  lr 5.68e-04  |grad| 0.21  mem 59.3GB  tok/s 6,502
[16:22:12] step  1480/2000  ce 3.8527  lr 5.60e-04  |grad| 0.19  mem 59.3GB  tok/s 6,502
[16:23:54] step  1490/2000  ce 3.8339  lr 5.51e-04  |grad| 0.20  mem 59.3GB  tok/s 6,502
[16:25:35] step  1500/2000  ce 3.8411  lr 5.43e-04  |grad| 0.20  mem 59.3GB  tok/s 6,501
[16:25:45]   [eval @ 1500] val PPL=49.47
[16:25:48]   [ckpt @ 1500] -> checkpoint_hg_seed1.pt
[16:27:29] step  1510/2000  ce 3.9190  lr 5.34e-04  |grad| 0.19  mem 59.3GB  tok/s 6,496
[16:29:10] step  1520/2000  ce 3.8872  lr 5.26e-04  |grad| 0.19  mem 59.3GB  tok/s 6,496
[16:30:51] step  1530/2000  ce 4.0780  lr 5.18e-04  |grad| 0.20  mem 59.3GB  tok/s 6,496
[16:32:32] step  1540/2000  ce 4.1930  lr 5.10e-04  |grad| 0.19  mem 59.3GB  tok/s 6,496
[16:34:12] step  1550/2000  ce 3.7634  lr 5.02e-04  |grad| 0.20  mem 59.3GB  tok/s 6,496
[16:35:53] step  1560/2000  ce 3.8069  lr 4.95e-04  |grad| 0.18  mem 59.3GB  tok/s 6,496
[16:37:34] step  1570/2000  ce 4.1114  lr 4.87e-04  |grad| 0.20  mem 59.3GB  tok/s 6,496
[16:39:15] step  1580/2000  ce 3.8098  lr 4.80e-04  |grad| 0.18  mem 59.3GB  tok/s 6,496
[16:40:56] step  1590/2000  ce 4.0265  lr 4.73e-04  |grad| 0.18  mem 59.3GB  tok/s 6,496
[16:42:37] step  1600/2000  ce 3.9363  lr 4.65e-04  |grad| 0.19  mem 59.3GB  tok/s 6,496
[16:44:18] step  1610/2000  ce 4.0132  lr 4.59e-04  |grad| 0.19  mem 59.3GB  tok/s 6,496
[16:45:59] step  1620/2000  ce 3.6539  lr 4.52e-04  |grad| 0.18  mem 59.3GB  tok/s 6,496
[16:47:39] step  1630/2000  ce 3.8081  lr 4.45e-04  |grad| 1.35  mem 59.3GB  tok/s 6,496
[16:49:19] step  1640/2000  ce 3.8082  lr 4.39e-04  |grad| 0.21  mem 59.3GB  tok/s 6,496
[16:50:59] step  1650/2000  ce 4.0705  lr 4.32e-04  |grad| 0.18  mem 59.3GB  tok/s 6,497
[16:52:38] step  1660/2000  ce 3.9051  lr 4.26e-04  |grad| 0.18  mem 59.3GB  tok/s 6,497
[16:54:18] step  1670/2000  ce 3.8624  lr 4.20e-04  |grad| 0.19  mem 59.3GB  tok/s 6,498
[16:55:58] step  1680/2000  ce 3.9721  lr 4.14e-04  |grad| 0.18  mem 59.3GB  tok/s 6,498
[16:57:38] step  1690/2000  ce 3.7491  lr 4.09e-04  |grad| 0.18  mem 59.3GB  tok/s 6,498
[16:59:19] step  1700/2000  ce 3.5524  lr 4.03e-04  |grad| 0.18  mem 59.3GB  tok/s 6,499
[17:00:59] step  1710/2000  ce 4.0090  lr 3.98e-04  |grad| 0.19  mem 59.3GB  tok/s 6,499
[17:02:39] step  1720/2000  ce 3.6807  lr 3.93e-04  |grad| 0.18  mem 59.3GB  tok/s 6,499
[17:04:18] step  1730/2000  ce 3.7918  lr 3.88e-04  |grad| 0.18  mem 59.3GB  tok/s 6,500
[17:05:58] step  1740/2000  ce 3.8231  lr 3.83e-04  |grad| 0.18  mem 59.3GB  tok/s 6,500
[17:07:38] step  1750/2000  ce 3.9108  lr 3.78e-04  |grad| 0.18  mem 59.3GB  tok/s 6,500
[17:07:42]   [ckpt @ 1750] -> checkpoint_hg_seed1.pt
[17:09:21] step  1760/2000  ce 3.7978  lr 3.74e-04  |grad| 0.19  mem 59.3GB  tok/s 6,499
[17:11:01] step  1770/2000  ce 3.9670  lr 3.69e-04  |grad| 0.18  mem 59.3GB  tok/s 6,500
[17:12:41] step  1780/2000  ce 3.8019  lr 3.65e-04  |grad| 0.19  mem 59.3GB  tok/s 6,500
[17:14:21] step  1790/2000  ce 3.7996  lr 3.61e-04  |grad| 0.18  mem 59.3GB  tok/s 6,501
[17:16:00] step  1800/2000  ce 3.7667  lr 3.57e-04  |grad| 0.18  mem 59.3GB  tok/s 6,501
[17:17:40] step  1810/2000  ce 3.8594  lr 3.54e-04  |grad| 0.19  mem 59.3GB  tok/s 6,502
[17:19:19] step  1820/2000  ce 4.1338  lr 3.50e-04  |grad| 0.18  mem 59.3GB  tok/s 6,502
[17:20:59] step  1830/2000  ce 3.5968  lr 3.47e-04  |grad| 0.18  mem 59.3GB  tok/s 6,502
[17:22:38] step  1840/2000  ce 3.9484  lr 3.44e-04  |grad| 0.17  mem 59.3GB  tok/s 6,503
[17:24:18] step  1850/2000  ce 3.6606  lr 3.41e-04  |grad| 0.17  mem 59.3GB  tok/s 6,503
[17:25:57] step  1860/2000  ce 3.8221  lr 3.38e-04  |grad| 0.18  mem 59.3GB  tok/s 6,504
[17:27:37] step  1870/2000  ce 3.8347  lr 3.36e-04  |grad| 0.18  mem 59.3GB  tok/s 6,504
[17:29:16] step  1880/2000  ce 3.9106  lr 3.34e-04  |grad| 0.19  mem 59.3GB  tok/s 6,505
[17:30:55] step  1890/2000  ce 3.8344  lr 3.31e-04  |grad| 0.17  mem 59.3GB  tok/s 6,505
[17:32:35] step  1900/2000  ce 3.7585  lr 3.29e-04  |grad| 0.18  mem 59.3GB  tok/s 6,506
[17:34:14] step  1910/2000  ce 3.7991  lr 3.28e-04  |grad| 0.18  mem 59.3GB  tok/s 6,506
