[2026-07-02T07:39:04Z] [sentinel] armed: pid=3134930 kill_at=0.83 interval=30s grace=60s start_ticks=25209537 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-07-02T19:18:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T19:28:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T19:38:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T19:48:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T19:58:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:08:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:18:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:28:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:38:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:48:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T20:58:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.5 GiB
[2026-07-02T21:08:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T21:18:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T21:28:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T21:38:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T21:48:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T21:58:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:08:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:18:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:28:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:38:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:48:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T22:58:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T23:08:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.5 GiB
[2026-07-02T23:18:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T23:28:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T23:38:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T23:48:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T23:58:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:08:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:18:35Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:28:35Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:38:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:48:35Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T00:58:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T01:08:35Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T01:18:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.5 GiB
[2026-07-03T01:28:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.5 GiB
[2026-07-03T01:38:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T01:48:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T01:58:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T02:08:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T02:18:36Z] [sentinel] heartbeat: pool usage 43.3%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T02:28:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-03T02:38:36Z] [sentinel] heartbeat: pool usage 43.4%, pid 3134930 alive, rss 5.4 GiB
