Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[07:39:07] ARM grpo_seed0: steps=300 prompts/step=16 G=8 cap=256 beta_kl=0.003 clip=0.2 lr=1e-06 extractor=math-acc-v1 n_prompt_pool=10961
/home/yashb98/Downloads/BuildFromScratch/Qwen3-0.6B/experiments/2026-07-02_qwen3-0.6b_grpo-phase2/train_grpo.py:262: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  loss_sum += float(mb_loss)
[20:54:35] step 151/300 reward=0.0 kept=13 len=187.5 kl=0.0002 (301.1s)
[20:59:49] step 152/300 reward=0.0234 kept=15 len=195.4 kl=0.000173 (314.0s)
[21:04:34] step 153/300 reward=0.0 kept=14 len=196.8 kl=0.000186 (285.0s)
[21:09:48] step 154/300 reward=0.0234 kept=14 len=186.5 kl=0.000171 (314.3s)
[21:14:54] step 155/300 reward=0.0078 kept=14 len=186.5 kl=0.000164 (306.0s)
[21:20:01] step 156/300 reward=0.0156 kept=15 len=195.2 kl=0.00018 (307.0s)
[21:25:29] step 157/300 reward=0.0 kept=16 len=196.2 kl=0.000174 (327.9s)
[21:31:00] step 158/300 reward=0.0 kept=14 len=190.5 kl=0.000172 (330.8s)
[21:35:57] step 159/300 reward=0.0156 kept=12 len=183.0 kl=0.000176 (297.7s)
[21:42:20] step 160/300 reward=0.0078 kept=15 len=206.0 kl=0.000185 (382.4s)
[21:47:54] step 161/300 reward=0.0078 kept=15 len=207.9 kl=0.000162 (334.4s)
[21:53:00] step 162/300 reward=0.0078 kept=14 len=195.9 kl=0.00016 (305.9s)
[21:57:58] step 163/300 reward=0.0 kept=16 len=180.1 kl=0.000174 (298.1s)
[22:03:04] step 164/300 reward=0.0156 kept=13 len=196.0 kl=0.000169 (305.9s)
[22:08:02] step 165/300 reward=0.0156 kept=14 len=204.5 kl=0.000186 (298.2s)
[22:13:06] step 166/300 reward=0.0078 kept=15 len=182.0 kl=0.00017 (303.8s)
[22:18:33] step 167/300 reward=0.0078 kept=15 len=179.8 kl=0.000182 (326.6s)
[22:23:23] step 168/300 reward=0.0 kept=14 len=201.2 kl=0.000166 (290.2s)
[22:30:03] step 169/300 reward=0.0 kept=15 len=181.6 kl=0.000175 (400.1s)
[22:35:17] step 170/300 reward=0.0234 kept=16 len=198.9 kl=0.000173 (314.5s)
[22:40:59] step 171/300 reward=0.0 kept=14 len=197.5 kl=0.000164 (341.6s)
[22:45:59] step 172/300 reward=0.0 kept=13 len=199.9 kl=0.000153 (300.0s)
[22:50:55] step 173/300 reward=0.0078 kept=14 len=183.6 kl=0.000176 (295.8s)
[22:55:50] step 174/300 reward=0.0312 kept=12 len=196.4 kl=0.00017 (294.7s)
[23:00:44] step 175/300 reward=0.0078 kept=15 len=206.5 kl=0.000159 (294.4s)
[23:05:54] step 176/300 reward=0.0234 kept=13 len=197.7 kl=0.000173 (306.1s)
[23:13:25] step 177/300 reward=0.0156 kept=14 len=191.4 kl=0.00018 (451.3s)
[23:18:42] step 178/300 reward=0.0 kept=14 len=184.6 kl=0.000179 (316.8s)
[23:23:50] step 179/300 reward=0.0 kept=9 len=201.7 kl=0.00018 (308.1s)
[23:29:12] step 180/300 reward=0.0078 kept=13 len=196.5 kl=0.000171 (322.4s)
[23:34:37] step 181/300 reward=0.0156 kept=15 len=187.1 kl=0.000189 (324.6s)
[23:39:59] step 182/300 reward=0.0156 kept=15 len=186.4 kl=0.000163 (321.8s)
[23:44:54] step 183/300 reward=0.0078 kept=14 len=189.6 kl=0.000172 (295.1s)
[23:50:06] step 184/300 reward=0.0156 kept=13 len=211.2 kl=0.000165 (312.0s)
[23:55:19] step 185/300 reward=0.0312 kept=13 len=196.9 kl=0.000181 (312.9s)
[00:00:34] step 186/300 reward=0.0234 kept=16 len=205.8 kl=0.000176 (315.5s)
[00:05:28] step 187/300 reward=0.0078 kept=13 len=187.1 kl=0.000167 (294.1s)
[00:11:15] step 188/300 reward=0.0 kept=13 len=205.9 kl=0.000153 (346.4s)
[00:17:00] step 189/300 reward=0.0 kept=13 len=195.5 kl=0.000166 (345.5s)
[00:22:01] step 190/300 reward=0.0078 kept=13 len=198.9 kl=0.000179 (300.9s)
[00:27:13] step 191/300 reward=0.0156 kept=13 len=202.8 kl=0.000178 (312.3s)
[00:32:08] step 192/300 reward=0.0078 kept=10 len=206.5 kl=0.000158 (294.8s)
[00:37:17] step 193/300 reward=0.0 kept=12 len=205.1 kl=0.000168 (309.3s)
[00:42:34] step 194/300 reward=0.0 kept=14 len=197.5 kl=0.000159 (316.4s)
[00:48:02] step 195/300 reward=0.0156 kept=15 len=195.3 kl=0.00017 (328.3s)
[00:53:13] step 196/300 reward=0.0156 kept=12 len=195.1 kl=0.000178 (311.3s)
[00:58:07] step 197/300 reward=0.0 kept=12 len=190.5 kl=0.000184 (293.5s)
[01:03:44] step 198/300 reward=0.0078 kept=16 len=202.1 kl=0.00016 (337.3s)
[01:09:12] step 199/300 reward=0.0 kept=12 len=208.1 kl=0.000158 (327.4s)
[01:14:53] step 200/300 reward=0.0234 kept=13 len=213.2 kl=0.000161 (341.3s)
[01:20:07] step 201/300 reward=0.0078 kept=13 len=209.8 kl=0.00016 (310.4s)
[01:25:36] step 202/300 reward=0.0234 kept=15 len=184.4 kl=0.000178 (329.4s)
[01:32:34] step 203/300 reward=0.0234 kept=13 len=200.3 kl=0.000156 (417.5s)
[01:37:55] step 204/300 reward=0.0 kept=10 len=207.0 kl=0.000169 (320.8s)
[01:43:51] step 205/300 reward=0.0078 kept=13 len=185.2 kl=0.000168 (356.8s)
[01:49:09] step 206/300 reward=0.0156 kept=14 len=212.9 kl=0.000167 (318.0s)
[01:54:22] step 207/300 reward=0.0078 kept=10 len=207.0 kl=0.000179 (312.2s)
[01:59:45] step 208/300 reward=0.0078 kept=13 len=200.4 kl=0.000178 (323.4s)
[02:04:53] step 209/300 reward=0.0078 kept=15 len=204.2 kl=0.000167 (307.7s)
[02:10:18] step 210/300 reward=0.0156 kept=14 len=188.1 kl=0.000164 (325.8s)
[02:15:11] step 211/300 reward=0.0078 kept=12 len=198.2 kl=0.000158 (292.8s)
[02:20:15] step 212/300 reward=0.0156 kept=14 len=198.0 kl=0.000186 (303.4s)
[02:25:12] step 213/300 reward=0.0 kept=15 len=192.8 kl=0.000175 (297.8s)
[02:31:40] step 214/300 reward=0.0 kept=13 len=196.5 kl=0.000175 (387.4s)
[02:37:25] step 215/300 reward=0.0156 kept=12 len=184.7 kl=0.000187 (345.0s)
[02:42:37] step 216/300 reward=0.0078 kept=10 len=196.8 kl=0.000166 (312.5s)
