[2026-06-27T23:15:22Z] [sentinel] armed: pid=3854112 kill_at=0.83 interval=30s grace=60s start_ticks=167457879 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-27T23:15:52Z] [sentinel] watched pid 3854112 exited on its own; disarming (no kill)
[2026-06-29T10:59:19Z] [sentinel] heartbeat: pool usage 60.1%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:09:19Z] [sentinel] heartbeat: pool usage 60.1%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:19:19Z] [sentinel] heartbeat: pool usage 60.2%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:29:20Z] [sentinel] heartbeat: pool usage 60.1%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:39:20Z] [sentinel] heartbeat: pool usage 60.1%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:49:20Z] [sentinel] heartbeat: pool usage 61.7%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T11:59:20Z] [sentinel] heartbeat: pool usage 61.7%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T12:09:20Z] [sentinel] heartbeat: pool usage 61.4%, pid 35471 alive, rss 8.8 GiB
[2026-06-29T12:19:20Z] [sentinel] heartbeat: pool usage 60.8%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T12:29:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T12:39:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T12:49:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T12:59:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:09:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:19:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:29:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:39:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:49:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T13:59:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:09:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:19:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:29:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:39:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:49:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:59:20Z] [sentinel] heartbeat: pool usage 60.4%, pid 35471 alive, rss 7.5 GiB
[2026-06-29T14:59:32Z] [sentinel] armed: pid=237828 kill_at=0.83 interval=30s grace=60s start_ticks=1932327 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-29T14:59:50Z] [sentinel] watched pid 35471 exited on its own; disarming (no kill)
[2026-06-29T15:09:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T15:19:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T15:29:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T15:39:02Z] [sentinel] heartbeat: pool usage 61.4%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T15:49:02Z] [sentinel] heartbeat: pool usage 61.4%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T15:59:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:09:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:19:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:29:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:39:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:49:02Z] [sentinel] heartbeat: pool usage 61.3%, pid 237828 alive, rss 8.6 GiB
[2026-06-29T16:59:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:09:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:19:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:29:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:39:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:49:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T17:59:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:09:02Z] [sentinel] heartbeat: pool usage 60.2%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:19:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:29:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:39:02Z] [sentinel] heartbeat: pool usage 60.2%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:49:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T18:59:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T19:09:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T19:19:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T19:29:02Z] [sentinel] heartbeat: pool usage 60.3%, pid 237828 alive, rss 7.3 GiB
[2026-06-29T19:31:21Z] [sentinel] armed: pid=426480 kill_at=0.83 interval=30s grace=60s start_ticks=3563226 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-06-29T19:31:32Z] [sentinel] watched pid 237828 exited on its own; disarming (no kill)
[2026-06-29T19:40:51Z] [sentinel] heartbeat: pool usage 61.3%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T19:50:51Z] [sentinel] heartbeat: pool usage 61.3%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T20:00:51Z] [sentinel] heartbeat: pool usage 61.4%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T20:10:51Z] [sentinel] heartbeat: pool usage 61.3%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T20:20:51Z] [sentinel] heartbeat: pool usage 61.3%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T20:30:51Z] [sentinel] heartbeat: pool usage 61.4%, pid 426480 alive, rss 8.6 GiB
[2026-06-29T20:40:51Z] [sentinel] heartbeat: pool usage 61.4%, pid 426480 alive, rss 8.6 GiB
