[17:23:31] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=0 tok/step=65,536
[19:22:38]   [ckpt @ 750] -> checkpoint_mix_seed0.pt
[19:24:12] step   760/2000  ce 4.7400  lr 1.33e-03  |grad| 0.27  mem 57.4GB  tok/s 6,882
[19:25:47] step   770/2000  ce 4.5091  lr 1.32e-03  |grad| 0.24  mem 57.4GB  tok/s 6,883
[19:27:22] step   780/2000  ce 4.7141  lr 1.31e-03  |grad| 0.26  mem 57.4GB  tok/s 6,883
[19:28:57] step   790/2000  ce 4.5727  lr 1.30e-03  |grad| 0.27  mem 57.4GB  tok/s 6,883
[19:30:32] step   800/2000  ce 4.7758  lr 1.29e-03  |grad| 0.25  mem 57.4GB  tok/s 6,883
[19:32:07] step   810/2000  ce 4.6121  lr 1.28e-03  |grad| 0.29  mem 57.4GB  tok/s 6,884
[19:33:42] step   820/2000  ce 4.6915  lr 1.27e-03  |grad| 0.24  mem 57.4GB  tok/s 6,884
[19:35:17] step   830/2000  ce 4.6717  lr 1.26e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[19:36:51] step   840/2000  ce 4.8400  lr 1.24e-03  |grad| 0.22  mem 57.4GB  tok/s 6,885
[19:38:26] step   850/2000  ce 4.6621  lr 1.23e-03  |grad| 0.25  mem 57.4GB  tok/s 6,885
[19:40:01] step   860/2000  ce 4.2639  lr 1.22e-03  |grad| 0.24  mem 57.4GB  tok/s 6,885
[19:41:36] step   870/2000  ce 4.6127  lr 1.21e-03  |grad| 0.27  mem 57.4GB  tok/s 6,885
[19:43:11] step   880/2000  ce 4.5278  lr 1.20e-03  |grad| 0.23  mem 57.4GB  tok/s 6,886
[19:44:46] step   890/2000  ce 4.7363  lr 1.19e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[19:46:21] step   900/2000  ce 4.4719  lr 1.18e-03  |grad| 0.22  mem 57.4GB  tok/s 6,886
[19:47:56] step   910/2000  ce 4.3714  lr 1.17e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[19:49:31] step   920/2000  ce 4.3747  lr 1.16e-03  |grad| 0.22  mem 57.4GB  tok/s 6,886
[19:51:05] step   930/2000  ce 4.2620  lr 1.15e-03  |grad| 0.24  mem 57.4GB  tok/s 6,887
[19:52:40] step   940/2000  ce 4.5242  lr 1.13e-03  |grad| 0.25  mem 57.4GB  tok/s 6,887
[19:54:15] step   950/2000  ce 4.2517  lr 1.12e-03  |grad| 0.24  mem 57.4GB  tok/s 6,887
[19:55:50] step   960/2000  ce 4.4997  lr 1.11e-03  |grad| 0.28  mem 57.4GB  tok/s 6,887
[19:57:25] step   970/2000  ce 4.3385  lr 1.10e-03  |grad| 0.24  mem 57.4GB  tok/s 6,888
[19:59:00] step   980/2000  ce 4.4462  lr 1.09e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[20:00:35] step   990/2000  ce 4.4320  lr 1.08e-03  |grad| 0.28  mem 57.4GB  tok/s 6,888
[20:02:10] step  1000/2000  ce 4.3547  lr 1.07e-03  |grad| 0.23  mem 57.4GB  tok/s 6,888
[20:02:19]   [eval @ 1000] val PPL=75.58
[20:02:22]   [ckpt @ 1000] -> checkpoint_mix_seed0.pt
[20:03:57] step  1010/2000  ce 4.2969  lr 1.06e-03  |grad| 0.22  mem 57.4GB  tok/s 6,880
[20:05:32] step  1020/2000  ce 4.4410  lr 1.04e-03  |grad| 0.22  mem 57.4GB  tok/s 6,880
[20:07:06] step  1030/2000  ce 4.3703  lr 1.03e-03  |grad| 0.27  mem 57.4GB  tok/s 6,880
[20:08:41] step  1040/2000  ce 4.4678  lr 1.02e-03  |grad| 0.22  mem 57.4GB  tok/s 6,880
[20:10:16] step  1050/2000  ce 4.6559  lr 1.01e-03  |grad| 0.24  mem 57.4GB  tok/s 6,881
[20:11:51] step  1060/2000  ce 4.4618  lr 9.99e-04  |grad| 0.22  mem 57.4GB  tok/s 6,881
[20:13:26] step  1070/2000  ce 4.4694  lr 9.87e-04  |grad| 0.22  mem 57.4GB  tok/s 6,881
[20:15:01] step  1080/2000  ce 4.4774  lr 9.76e-04  |grad| 0.22  mem 57.4GB  tok/s 6,881
[20:16:36] step  1090/2000  ce 4.5281  lr 9.64e-04  |grad| 0.26  mem 57.4GB  tok/s 6,882
[20:18:11] step  1100/2000  ce 4.4702  lr 9.53e-04  |grad| 0.25  mem 57.4GB  tok/s 6,882
[20:19:46] step  1110/2000  ce 4.5638  lr 9.42e-04  |grad| 0.27  mem 57.4GB  tok/s 6,882
[20:21:21] step  1120/2000  ce 4.3397  lr 9.30e-04  |grad| 0.24  mem 57.4GB  tok/s 6,882
[20:22:56] step  1130/2000  ce 4.3274  lr 9.19e-04  |grad| 0.22  mem 57.4GB  tok/s 6,882
[20:24:31] step  1140/2000  ce 4.4246  lr 9.08e-04  |grad| 0.21  mem 57.4GB  tok/s 6,883
[20:26:05] step  1150/2000  ce 4.3062  lr 8.96e-04  |grad| 0.23  mem 57.4GB  tok/s 6,883
[20:27:40] step  1160/2000  ce 4.0368  lr 8.85e-04  |grad| 0.20  mem 57.4GB  tok/s 6,883
[20:29:15] step  1170/2000  ce 4.3336  lr 8.74e-04  |grad| 0.21  mem 57.4GB  tok/s 6,883
[20:30:50] step  1180/2000  ce 4.2897  lr 8.63e-04  |grad| 0.21  mem 57.4GB  tok/s 6,883
[20:32:25] step  1190/2000  ce 4.3115  lr 8.52e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[20:34:00] step  1200/2000  ce 4.3480  lr 8.41e-04  |grad| 0.22  mem 57.4GB  tok/s 6,884
[20:35:35] step  1210/2000  ce 4.4100  lr 8.30e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[20:37:10] step  1220/2000  ce 4.3828  lr 8.19e-04  |grad| 0.19  mem 57.4GB  tok/s 6,884
[20:38:44] step  1230/2000  ce 4.0960  lr 8.08e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[20:40:19] step  1240/2000  ce 4.0740  lr 7.97e-04  |grad| 0.21  mem 57.4GB  tok/s 6,885
[20:41:54] step  1250/2000  ce 4.4936  lr 7.86e-04  |grad| 0.22  mem 57.4GB  tok/s 6,885
[20:41:58]   [ckpt @ 1250] -> checkpoint_mix_seed0.pt
[20:43:32] step  1260/2000  ce 4.3774  lr 7.75e-04  |grad| 0.20  mem 57.4GB  tok/s 6,883
[20:45:08] step  1270/2000  ce 4.2739  lr 7.65e-04  |grad| 0.20  mem 57.4GB  tok/s 6,883
[20:46:42] step  1280/2000  ce 4.2817  lr 7.54e-04  |grad| 0.20  mem 57.4GB  tok/s 6,883
