[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[06:32:44] step   700/2000  ce 4.6330  lr 1.39e-03  |grad| 0.29  mem 57.4GB  tok/s 6,861
[06:34:19] step   710/2000  ce 4.6880  lr 1.38e-03  |grad| 0.25  mem 57.4GB  tok/s 6,861
[06:35:54] step   720/2000  ce 4.6085  lr 1.37e-03  |grad| 0.24  mem 57.4GB  tok/s 6,862
[06:37:29] step   730/2000  ce 4.9124  lr 1.36e-03  |grad| 0.29  mem 57.4GB  tok/s 6,862
[06:39:04] step   740/2000  ce 4.8461  lr 1.35e-03  |grad| 0.36  mem 57.4GB  tok/s 6,863
[06:40:40] step   750/2000  ce 4.8400  lr 1.34e-03  |grad| 0.32  mem 57.4GB  tok/s 6,863
[06:40:43]   [ckpt @ 750] -> checkpoint_treatment_seed2.pt
[06:42:18] step   760/2000  ce 4.9152  lr 1.33e-03  |grad| 0.27  mem 57.4GB  tok/s 6,860
[06:43:53] step   770/2000  ce 4.8320  lr 1.32e-03  |grad| 0.26  mem 57.4GB  tok/s 6,860
[06:45:29] step   780/2000  ce 4.5830  lr 1.31e-03  |grad| 0.30  mem 57.4GB  tok/s 6,861
[06:47:04] step   790/2000  ce 4.7656  lr 1.30e-03  |grad| 0.29  mem 57.4GB  tok/s 6,861
[06:48:39] step   800/2000  ce 4.8670  lr 1.29e-03  |grad| 0.26  mem 57.4GB  tok/s 6,861
[06:50:14] step   810/2000  ce 4.8450  lr 1.28e-03  |grad| 0.27  mem 57.4GB  tok/s 6,862
[06:51:49] step   820/2000  ce 4.9908  lr 1.27e-03  |grad| 0.24  mem 57.4GB  tok/s 6,862
[06:53:25] step   830/2000  ce 4.6307  lr 1.26e-03  |grad| 0.33  mem 57.4GB  tok/s 6,862
[06:55:00] step   840/2000  ce 4.7586  lr 1.24e-03  |grad| 0.31  mem 57.4GB  tok/s 6,862
[06:56:36] step   850/2000  ce 4.4131  lr 1.23e-03  |grad| 0.28  mem 57.4GB  tok/s 6,862
[06:58:11] step   860/2000  ce 4.7385  lr 1.22e-03  |grad| 0.28  mem 57.4GB  tok/s 6,862
[06:59:46] step   870/2000  ce 4.9104  lr 1.21e-03  |grad| 0.26  mem 57.4GB  tok/s 6,863
