[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[02:16:47] step   790/2000  ce 4.3847  lr 1.30e-03  |grad| 0.24  mem 57.4GB  tok/s 6,910
[02:18:21] step   800/2000  ce 4.3967  lr 1.29e-03  |grad| 0.23  mem 57.4GB  tok/s 6,910
[02:19:56] step   810/2000  ce 4.5025  lr 1.28e-03  |grad| 0.25  mem 57.4GB  tok/s 6,910
[02:21:30] step   820/2000  ce 4.4067  lr 1.27e-03  |grad| 0.23  mem 57.4GB  tok/s 6,911
[02:23:05] step   830/2000  ce 4.5851  lr 1.26e-03  |grad| 0.22  mem 57.4GB  tok/s 6,911
[02:24:40] step   840/2000  ce 4.1690  lr 1.24e-03  |grad| 0.22  mem 57.4GB  tok/s 6,911
[02:26:14] step   850/2000  ce 4.6762  lr 1.23e-03  |grad| 0.25  mem 57.4GB  tok/s 6,911
[02:27:49] step   860/2000  ce 4.4511  lr 1.22e-03  |grad| 0.24  mem 57.4GB  tok/s 6,912
[02:29:23] step   870/2000  ce 4.6690  lr 1.21e-03  |grad| 0.24  mem 57.4GB  tok/s 6,912
[02:30:57] step   880/2000  ce 4.5512  lr 1.20e-03  |grad| 0.23  mem 57.4GB  tok/s 6,912
[02:32:32] step   890/2000  ce 4.3491  lr 1.19e-03  |grad| 0.22  mem 57.4GB  tok/s 6,912
[02:34:07] step   900/2000  ce 4.5679  lr 1.18e-03  |grad| 0.26  mem 57.4GB  tok/s 6,913
[02:35:41] step   910/2000  ce 4.2004  lr 1.17e-03  |grad| 0.24  mem 57.4GB  tok/s 6,913
[02:37:16] step   920/2000  ce 4.2728  lr 1.16e-03  |grad| 0.22  mem 57.4GB  tok/s 6,913
[02:38:50] step   930/2000  ce 4.2762  lr 1.15e-03  |grad| 0.23  mem 57.4GB  tok/s 6,913
[02:40:25] step   940/2000  ce 4.0077  lr 1.13e-03  |grad| 0.25  mem 57.4GB  tok/s 6,914
[02:41:59] step   950/2000  ce 4.4205  lr 1.12e-03  |grad| 0.20  mem 57.4GB  tok/s 6,914
[02:43:34] step   960/2000  ce 4.3885  lr 1.11e-03  |grad| 0.22  mem 57.4GB  tok/s 6,914
[02:45:08] step   970/2000  ce 4.3729  lr 1.10e-03  |grad| 0.27  mem 57.4GB  tok/s 6,914
[02:46:43] step   980/2000  ce 4.1732  lr 1.09e-03  |grad| 0.23  mem 57.4GB  tok/s 6,914
[02:48:17] step   990/2000  ce 4.1168  lr 1.08e-03  |grad| 0.24  mem 57.4GB  tok/s 6,915
[02:49:52] step  1000/2000  ce 4.2229  lr 1.07e-03  |grad| 0.21  mem 57.4GB  tok/s 6,915
[02:50:01]   [eval @ 1000] val PPL=72.10
