[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[06:53:29] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0001 | vr=False ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[06:53:30] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[06:53:33]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[06:53:33] Compiling model...
[09:23:29] step   680/2000  ce 4.8761  z 0.01390  lr 1.41e-03  |grad| 0.26  mem 67.3GB  tok/s 4,954
[09:25:38] step   690/2000  ce 4.8375  z 0.01418  lr 1.40e-03  |grad| 0.26  mem 67.3GB  tok/s 4,956
[09:27:48] step   700/2000  ce 4.2781  z 0.01514  lr 1.39e-03  |grad| 0.26  mem 67.3GB  tok/s 4,957
[09:29:58] step   710/2000  ce 4.7577  z 0.01415  lr 1.38e-03  |grad| 0.26  mem 67.3GB  tok/s 4,958
[09:32:08] step   720/2000  ce 4.6311  z 0.01428  lr 1.37e-03  |grad| 0.24  mem 67.3GB  tok/s 4,960
[09:34:17] step   730/2000  ce 4.4345  z 0.01436  lr 1.36e-03  |grad| 0.26  mem 67.3GB  tok/s 4,961
[09:36:27] step   740/2000  ce 4.5674  z 0.01423  lr 1.35e-03  |grad| 0.26  mem 67.3GB  tok/s 4,962
[09:38:37] step   750/2000  ce 4.4239  z 0.01457  lr 1.34e-03  |grad| 0.27  mem 67.3GB  tok/s 4,963
[09:38:40]   [ckpt @ 750] -> checkpoint_zloss_seed1.pt
[09:40:50] step   760/2000  ce 4.4977  z 0.01447  lr 1.33e-03  |grad| 0.26  mem 67.3GB  tok/s 4,962
[09:43:00] step   770/2000  ce 4.3134  z 0.01446  lr 1.32e-03  |grad| 0.22  mem 67.3GB  tok/s 4,964
[09:45:10] step   780/2000  ce 4.3817  z 0.01436  lr 1.31e-03  |grad| 0.28  mem 67.3GB  tok/s 4,965
[09:47:19] step   790/2000  ce 4.5270  z 0.01384  lr 1.30e-03  |grad| 0.23  mem 67.3GB  tok/s 4,966
[09:49:29] step   800/2000  ce 4.5598  z 0.01411  lr 1.29e-03  |grad| 0.26  mem 67.3GB  tok/s 4,967
[09:51:39] step   810/2000  ce 4.6422  z 0.01401  lr 1.28e-03  |grad| 0.23  mem 67.3GB  tok/s 4,968
[09:53:49] step   820/2000  ce 4.2561  z 0.01408  lr 1.27e-03  |grad| 0.24  mem 67.3GB  tok/s 4,969
[09:55:58] step   830/2000  ce 4.5813  z 0.01421  lr 1.26e-03  |grad| 0.26  mem 67.3GB  tok/s 4,970
[09:58:08] step   840/2000  ce 3.9484  z 0.01473  lr 1.24e-03  |grad| 0.23  mem 67.3GB  tok/s 4,971
[10:00:18] step   850/2000  ce 4.4127  z 0.01434  lr 1.23e-03  |grad| 0.23  mem 67.3GB  tok/s 4,972
[10:02:28] step   860/2000  ce 4.5031  z 0.01396  lr 1.22e-03  |grad| 0.21  mem 67.3GB  tok/s 4,973
[10:04:37] step   870/2000  ce 4.2496  z 0.01434  lr 1.21e-03  |grad| 0.22  mem 67.3GB  tok/s 4,974
[10:06:47] step   880/2000  ce 4.0067  z 0.01509  lr 1.20e-03  |grad| 0.23  mem 67.3GB  tok/s 4,974
[10:08:57] step   890/2000  ce 4.3248  z 0.01437  lr 1.19e-03  |grad| 0.24  mem 67.3GB  tok/s 4,975
[10:11:07] step   900/2000  ce 4.1960  z 0.01452  lr 1.18e-03  |grad| 0.23  mem 67.3GB  tok/s 4,976
[10:13:17] step   910/2000  ce 4.2189  z 0.01462  lr 1.17e-03  |grad| 0.22  mem 67.3GB  tok/s 4,977
[10:15:26] step   920/2000  ce 4.2688  z 0.01433  lr 1.16e-03  |grad| 0.22  mem 67.3GB  tok/s 4,978
[10:17:36] step   930/2000  ce 4.5255  z 0.01400  lr 1.15e-03  |grad| 0.22  mem 67.3GB  tok/s 4,978
[10:19:46] step   940/2000  ce 3.7445  z 0.01554  lr 1.13e-03  |grad| 0.23  mem 67.3GB  tok/s 4,979
[10:21:55] step   950/2000  ce 4.3173  z 0.01428  lr 1.12e-03  |grad| 0.25  mem 67.3GB  tok/s 4,980
[10:24:05] step   960/2000  ce 4.0395  z 0.01462  lr 1.11e-03  |grad| 0.23  mem 67.3GB  tok/s 4,981
[10:26:15] step   970/2000  ce 4.1485  z 0.01429  lr 1.10e-03  |grad| 0.24  mem 67.3GB  tok/s 4,981
[10:28:24] step   980/2000  ce 4.2953  z 0.01446  lr 1.09e-03  |grad| 0.23  mem 67.3GB  tok/s 4,982
[10:30:34] step   990/2000  ce 4.3144  z 0.01424  lr 1.08e-03  |grad| 0.25  mem 67.3GB  tok/s 4,983
[10:32:44] step  1000/2000  ce 4.1174  z 0.01418  lr 1.07e-03  |grad| 0.26  mem 67.3GB  tok/s 4,983
[10:32:53]   [eval @ 1000] val PPL=70.53
[10:32:56]   [ckpt @ 1000] -> checkpoint_zloss_seed1.pt
[10:35:06] step  1010/2000  ce 4.1562  z 0.01450  lr 1.06e-03  |grad| 0.21  mem 67.3GB  tok/s 4,979
[10:37:16] step  1020/2000  ce 4.2894  z 0.01416  lr 1.04e-03  |grad| 0.21  mem 67.3GB  tok/s 4,980
[10:39:26] step  1030/2000  ce 4.2706  z 0.01434  lr 1.03e-03  |grad| 0.23  mem 67.3GB  tok/s 4,981
[10:41:35] step  1040/2000  ce 3.9943  z 0.01426  lr 1.02e-03  |grad| 0.22  mem 67.3GB  tok/s 4,982
[10:43:45] step  1050/2000  ce 4.1119  z 0.01439  lr 1.01e-03  |grad| 0.20  mem 67.3GB  tok/s 4,982
[10:45:55] step  1060/2000  ce 4.1898  z 0.01412  lr 9.99e-04  |grad| 0.25  mem 67.3GB  tok/s 4,983
[10:48:05] step  1070/2000  ce 4.5937  z 0.01374  lr 9.87e-04  |grad| 0.25  mem 67.3GB  tok/s 4,983
[10:50:15] step  1080/2000  ce 4.1826  z 0.01412  lr 9.76e-04  |grad| 0.21  mem 67.3GB  tok/s 4,984
[10:52:24] step  1090/2000  ce 4.0503  z 0.01450  lr 9.64e-04  |grad| 0.22  mem 67.3GB  tok/s 4,985
[10:54:34] step  1100/2000  ce 4.1965  z 0.01431  lr 9.53e-04  |grad| 0.21  mem 67.3GB  tok/s 4,985
[10:56:44] step  1110/2000  ce 4.1701  z 0.01436  lr 9.42e-04  |grad| 0.21  mem 67.3GB  tok/s 4,986
[10:58:54] step  1120/2000  ce 4.2419  z 0.01411  lr 9.30e-04  |grad| 0.21  mem 67.3GB  tok/s 4,986
[11:01:03] step  1130/2000  ce 4.1912  z 0.01425  lr 9.19e-04  |grad| 0.19  mem 67.3GB  tok/s 4,987
[11:03:13] step  1140/2000  ce 3.9506  z 0.01446  lr 9.08e-04  |grad| 0.21  mem 67.3GB  tok/s 4,988
[11:05:23] step  1150/2000  ce 4.4192  z 0.01387  lr 8.96e-04  |grad| 0.23  mem 67.3GB  tok/s 4,988
[11:07:33] step  1160/2000  ce 3.9793  z 0.01463  lr 8.85e-04  |grad| 0.20  mem 67.3GB  tok/s 4,989
[11:09:42] step  1170/2000  ce 3.9952  z 0.01455  lr 8.74e-04  |grad| 0.22  mem 67.3GB  tok/s 4,989
[11:11:52] step  1180/2000  ce 4.2204  z 0.01421  lr 8.63e-04  |grad| 0.19  mem 67.3GB  tok/s 4,990
[11:14:02] step  1190/2000  ce 4.0789  z 0.01417  lr 8.52e-04  |grad| 0.21  mem 67.3GB  tok/s 4,990
[11:16:12] step  1200/2000  ce 4.1789  z 0.01438  lr 8.41e-04  |grad| 0.20  mem 67.3GB  tok/s 4,991
[11:18:21] step  1210/2000  ce 4.1821  z 0.01407  lr 8.30e-04  |grad| 0.19  mem 67.3GB  tok/s 4,991
[11:20:31] step  1220/2000  ce 4.0188  z 0.01434  lr 8.19e-04  |grad| 0.20  mem 67.3GB  tok/s 4,992
[11:22:41] step  1230/2000  ce 4.1964  z 0.01408  lr 8.08e-04  |grad| 0.20  mem 67.3GB  tok/s 4,992
[11:24:51] step  1240/2000  ce 3.8180  z 0.01472  lr 7.97e-04  |grad| 0.20  mem 67.3GB  tok/s 4,992
[11:27:01] step  1250/2000  ce 4.1608  z 0.01400  lr 7.86e-04  |grad| 0.21  mem 67.3GB  tok/s 4,993
[11:27:04]   [ckpt @ 1250] -> checkpoint_zloss_seed1.pt
[11:29:14] step  1260/2000  ce 3.9909  z 0.01457  lr 7.75e-04  |grad| 0.19  mem 67.3GB  tok/s 4,992
[11:31:24] step  1270/2000  ce 3.9040  z 0.01465  lr 7.65e-04  |grad| 0.20  mem 67.3GB  tok/s 4,993
[11:33:33] step  1280/2000  ce 4.2133  z 0.01418  lr 7.54e-04  |grad| 0.20  mem 67.3GB  tok/s 4,993
[11:35:43] step  1290/2000  ce 4.1015  z 0.01455  lr 7.43e-04  |grad| 0.22  mem 67.3GB  tok/s 4,994
[11:37:53] step  1300/2000  ce 4.1081  z 0.01422  lr 7.33e-04  |grad| 0.18  mem 67.3GB  tok/s 4,994
[11:40:03] step  1310/2000  ce 4.1719  z 0.01426  lr 7.22e-04  |grad| 0.23  mem 67.3GB  tok/s 4,995
[11:42:13] step  1320/2000  ce 4.1740  z 0.01407  lr 7.12e-04  |grad| 0.20  mem 67.3GB  tok/s 4,995
[11:44:22] step  1330/2000  ce 3.9594  z 0.01452  lr 7.02e-04  |grad| 0.21  mem 67.3GB  tok/s 4,995
[11:46:32] step  1340/2000  ce 3.9967  z 0.01438  lr 6.92e-04  |grad| 0.20  mem 67.3GB  tok/s 4,996
[11:48:42] step  1350/2000  ce 3.8696  z 0.01460  lr 6.82e-04  |grad| 0.18  mem 67.3GB  tok/s 4,996
[11:50:52] step  1360/2000  ce 4.1551  z 0.01427  lr 6.72e-04  |grad| 0.20  mem 67.3GB  tok/s 4,997
