[03:11:22] ARM arch=imu1 schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=True hg=True | steps=2000 seed=1 tok/step=65,536
[06:07:56] step  1040/2000  ce 4.1473  lr 1.02e-03  |grad| 0.23  mem 61.1GB  tok/s 6,436
[06:09:38] step  1050/2000  ce 3.7737  lr 1.01e-03  |grad| 0.20  mem 61.1GB  tok/s 6,436
[06:11:19] step  1060/2000  ce 3.9572  lr 9.99e-04  |grad| 0.20  mem 61.1GB  tok/s 6,436
[06:13:00] step  1070/2000  ce 3.8855  lr 9.87e-04  |grad| 0.22  mem 61.1GB  tok/s 6,437
[06:14:42] step  1080/2000  ce 3.8815  lr 9.76e-04  |grad| 0.19  mem 61.1GB  tok/s 6,437
[06:16:23] step  1090/2000  ce 4.0985  lr 9.64e-04  |grad| 0.18  mem 61.1GB  tok/s 6,437
[06:18:04] step  1100/2000  ce 3.7825  lr 9.53e-04  |grad| 0.18  mem 61.1GB  tok/s 6,437
[06:19:46] step  1110/2000  ce 3.9707  lr 9.42e-04  |grad| 0.19  mem 61.1GB  tok/s 6,438
[06:21:27] step  1120/2000  ce 3.9873  lr 9.30e-04  |grad| 0.17  mem 61.1GB  tok/s 6,438
[06:23:09] step  1130/2000  ce 3.6546  lr 9.19e-04  |grad| 0.19  mem 61.1GB  tok/s 6,438
[06:24:50] step  1140/2000  ce 4.0025  lr 9.08e-04  |grad| 0.19  mem 61.1GB  tok/s 6,438
[06:26:31] step  1150/2000  ce 3.8943  lr 8.96e-04  |grad| 0.18  mem 61.1GB  tok/s 6,439
[06:28:13] step  1160/2000  ce 3.9313  lr 8.85e-04  |grad| 0.18  mem 61.1GB  tok/s 6,439
[06:29:54] step  1170/2000  ce 3.9005  lr 8.74e-04  |grad| 0.19  mem 61.1GB  tok/s 6,439
[06:31:36] step  1180/2000  ce 4.0145  lr 8.63e-04  |grad| 0.18  mem 61.1GB  tok/s 6,439
[06:33:17] step  1190/2000  ce 3.8881  lr 8.52e-04  |grad| 0.19  mem 61.1GB  tok/s 6,439
[06:34:58] step  1200/2000  ce 3.8564  lr 8.41e-04  |grad| 0.19  mem 61.1GB  tok/s 6,440
[06:36:40] step  1210/2000  ce 3.8242  lr 8.30e-04  |grad| 0.19  mem 61.1GB  tok/s 6,440
[06:38:21] step  1220/2000  ce 3.9361  lr 8.19e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[06:40:03] step  1230/2000  ce 3.8756  lr 8.08e-04  |grad| 0.17  mem 61.1GB  tok/s 6,440
[06:41:44] step  1240/2000  ce 3.8047  lr 7.97e-04  |grad| 0.19  mem 61.1GB  tok/s 6,440
[06:43:25] step  1250/2000  ce 3.6257  lr 7.86e-04  |grad| 0.18  mem 61.1GB  tok/s 6,440
[06:43:29]   [ckpt @ 1250] -> checkpoint_arch_seed1.pt
[06:45:10] step  1260/2000  ce 3.7544  lr 7.75e-04  |grad| 0.19  mem 61.1GB  tok/s 6,439
[06:46:52] step  1270/2000  ce 3.9313  lr 7.65e-04  |grad| 0.18  mem 61.1GB  tok/s 6,439
[06:48:33] step  1280/2000  ce 3.7590  lr 7.54e-04  |grad| 0.17  mem 61.1GB  tok/s 6,439
[06:50:15] step  1290/2000  ce 3.5160  lr 7.43e-04  |grad| 0.19  mem 61.1GB  tok/s 6,439
[06:51:56] step  1300/2000  ce 3.6279  lr 7.33e-04  |grad| 0.20  mem 61.1GB  tok/s 6,440
[06:53:37] step  1310/2000  ce 3.9777  lr 7.22e-04  |grad| 0.18  mem 61.1GB  tok/s 6,440
[06:55:19] step  1320/2000  ce 3.7673  lr 7.12e-04  |grad| 0.18  mem 61.1GB  tok/s 6,440
[06:57:00] step  1330/2000  ce 3.7721  lr 7.02e-04  |grad| 0.29  mem 61.1GB  tok/s 6,440
[06:58:42] step  1340/2000  ce 4.0017  lr 6.92e-04  |grad| 0.18  mem 61.1GB  tok/s 6,440
[07:00:23] step  1350/2000  ce 3.9046  lr 6.82e-04  |grad| 0.18  mem 61.1GB  tok/s 6,440
[07:02:05] step  1360/2000  ce 4.0155  lr 6.72e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[07:03:46] step  1370/2000  ce 3.8260  lr 6.62e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[07:05:28] step  1380/2000  ce 3.6546  lr 6.52e-04  |grad| 0.18  mem 61.1GB  tok/s 6,441
[07:07:09] step  1390/2000  ce 3.9445  lr 6.42e-04  |grad| 0.18  mem 61.1GB  tok/s 6,441
[07:08:50] step  1400/2000  ce 3.6424  lr 6.33e-04  |grad| 0.18  mem 61.1GB  tok/s 6,441
[07:10:32] step  1410/2000  ce 3.5988  lr 6.23e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[07:12:13] step  1420/2000  ce 3.7894  lr 6.14e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[07:13:55] step  1430/2000  ce 3.6697  lr 6.04e-04  |grad| 0.17  mem 61.1GB  tok/s 6,441
[07:15:36] step  1440/2000  ce 3.5896  lr 5.95e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:17:18] step  1450/2000  ce 3.7423  lr 5.86e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:18:59] step  1460/2000  ce 3.5101  lr 5.77e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:20:41] step  1470/2000  ce 3.7789  lr 5.68e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:22:22] step  1480/2000  ce 3.6790  lr 5.60e-04  |grad| 0.16  mem 61.1GB  tok/s 6,442
[07:24:04] step  1490/2000  ce 3.6551  lr 5.51e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:25:45] step  1500/2000  ce 3.5971  lr 5.43e-04  |grad| 0.17  mem 61.1GB  tok/s 6,442
[07:25:55]   [eval @ 1500] val PPL=40.51
[07:25:58]   [ckpt @ 1500] -> checkpoint_arch_seed1.pt
